transaction_amount,hour_of_day,account_age_days,num_txn_last_24h,num_failed_txn_last_24h,distance_from_usual_km,transaction_type,merchant_category,device_type,is_new_payee,risk_label
5020.01,22,4144,3,1,1.2,P2P,Electronics,Android,No,fraud
286.35,1,4585,2,1,7.09,P2P,Electronics,iOS,No,fraud
554.45,5,456,7,0,10.3,Merchant,Jewelry,Android,No,suspicious
1509.3,1,4836,5,0,4.22,P2P,Travel,iOS,No,suspicious
240.14,16,1438,3,1,1.58,P2P,Electronics,Android,Yes,fraud
4549.81,20,1060,3,1,10.3,BillPay,Electronics,Android,No,fraud
1210.12,5,3487,3,1,5.09,P2P,Groceries,Android,No,suspicious
3081.66,6,1409,2,0,3.23,P2P,Fuel,iOS,No,suspicious
4740.7,4,2502,5,0,17.26,P2P,Electronics,Unknown,No,fraud
395.66,18,478,2,0,6.77,Merchant,Groceries,iOS,No,safe
1066.01,1,4020,4,0,15.11,BillPay,Jewelry,Android,No,fraud
1191.92,17,690,3,0,0.57,Merchant,Fuel,iOS,No,suspicious
3518.81,6,2965,3,0,3.84,P2P,Travel,Android,No,suspicious
5006.79,12,1367,4,1,3.51,P2P,Fuel,iOS,No,fraud
6817.89,1,2281,2,0,3.08,P2P,Electronics,Android,Yes,fraud
2086.98,18,1387,0,1,4.93,P2P,Jewelry,Android,No,fraud
130.09,5,2441,4,0,11.79,P2P,Electronics,Android,No,suspicious
1901.64,4,596,2,1,4.52,Merchant,Travel,iOS,No,fraud
3031.05,15,358,4,0,10.33,Merchant,Travel,Android,No,suspicious
2624.48,7,3008,3,0,4.02,P2P,Groceries,Android,No,suspicious
1184.79,5,452,4,0,0.66,P2P,Electronics,Android,Yes,fraud
1516.76,21,1361,3,0,1.8,P2P,Travel,Unknown,No,suspicious
261.99,2,2500,2,0,3.87,Merchant,Electronics,Android,No,suspicious
2515.03,9,2595,5,0,0.52,BillPay,Fuel,Android,Yes,suspicious
1339.16,5,1774,1,0,1.67,P2P,Jewelry,iOS,No,suspicious
353.3,1,3680,0,0,1.13,P2P,Groceries,Android,Yes,suspicious
1539.17,4,1914,5,0,0.32,Merchant,Fuel,Android,No,suspicious
401.34,20,3199,1,1,0.91,P2P,Fuel,Android,No,suspicious
372.94,13,1045,3,0,5.63,P2P,Travel,Android,No,safe
2477.15,2,4644,1,0,3.19,P2P,Groceries,Android,No,suspicious
1361.23,5,4772,1,1,0.95,P2P,Electronics,Android,No,fraud
2599.79,11,877,5,1,3.19,P2P,Groceries,Android,No,fraud
3950.67,21,2228,1,0,13.85,P2P,Fuel,Android,Yes,suspicious
2495.7,2,3854,6,2,2.41,BillPay,Electronics,Android,No,fraud
177.98,2,4974,4,0,2.74,Merchant,Fuel,Android,Yes,suspicious
241.98,2,227,4,0,0.4,Merchant,Electronics,Android,No,suspicious
3474.44,19,438,3,0,5.15,BillPay,Groceries,Android,No,suspicious
2934.56,20,4619,8,0,1.66,P2P,Fuel,iOS,No,suspicious
217.35,9,3580,2,2,0.12,Merchant,Jewelry,Android,No,fraud
1033.93,16,3807,1,1,13.82,Merchant,Fuel,Android,Yes,suspicious
871.29,22,3656,5,0,11.57,P2P,Jewelry,iOS,No,suspicious
3010.56,4,2752,1,0,0.73,BillPay,Travel,Android,No,suspicious
1892.85,21,2198,3,0,2.48,Merchant,Groceries,Android,No,suspicious
8859.0,18,4709,3,0,7.09,Merchant,Fuel,Android,No,suspicious
1419.89,18,4558,2,1,16.33,P2P,Travel,Android,No,suspicious
2303.32,13,4870,3,0,5.63,BillPay,Groceries,iOS,No,suspicious
1334.8,8,3894,4,2,6.68,BillPay,Fuel,iOS,No,fraud
1109.34,18,3979,3,0,12.92,P2P,Groceries,iOS,No,suspicious
8720.59,6,362,6,1,7.97,P2P,Travel,iOS,No,fraud
6569.91,6,2947,5,0,2.2,P2P,Travel,Android,No,suspicious
397.32,20,3986,2,0,2.62,P2P,Jewelry,Android,No,suspicious
585.42,9,2799,3,0,1.75,P2P,Travel,Android,No,safe
1015.49,16,3161,4,0,0.09,P2P,Groceries,Unknown,Yes,fraud
465.18,22,3299,3,1,27.1,BillPay,Groceries,Android,No,suspicious
2547.84,20,4060,0,0,4.54,Merchant,Fuel,Android,Yes,suspicious
1777.41,22,1754,2,1,9.86,P2P,Travel,Android,No,suspicious
2816.63,7,2632,2,0,0.37,P2P,Fuel,Android,No,suspicious
3658.96,20,1775,4,1,9.45,P2P,Electronics,Android,No,fraud
436.65,6,1588,5,0,1.93,P2P,Fuel,Android,No,suspicious
940.5,17,4565,1,2,0.51,Merchant,Groceries,iOS,No,fraud
1599.91,17,3109,5,0,4.66,P2P,Groceries,Android,Yes,suspicious
769.03,2,3260,2,0,3.36,Merchant,Jewelry,Android,Yes,fraud
119.13,8,1946,3,0,4.73,P2P,Travel,iOS,No,safe
1451.63,11,3379,4,0,0.96,Merchant,Groceries,Android,No,suspicious
1887.38,8,2865,0,0,4.43,P2P,Electronics,Android,Yes,suspicious
2042.92,16,241,1,0,4.64,P2P,Groceries,iOS,No,safe
6865.81,4,4997,3,0,1.31,Merchant,Fuel,Android,No,suspicious
179.13,18,1922,5,0,0.04,Merchant,Travel,iOS,No,suspicious
1391.22,5,306,1,1,5.87,Merchant,Fuel,Android,No,suspicious
2739.77,14,2048,3,0,1.31,Merchant,Groceries,iOS,No,suspicious
2283.95,15,969,0,1,0.96,Merchant,Travel,Android,No,suspicious
8438.96,22,4251,5,0,2.08,P2P,Groceries,Android,No,suspicious
1180.04,17,223,7,1,7.09,Merchant,Fuel,Android,No,fraud
650.76,2,1118,2,0,6.97,P2P,Groceries,iOS,No,suspicious
5230.49,14,4453,2,0,0.26,BillPay,Travel,Android,Yes,suspicious
919.82,3,3356,1,0,2.46,Merchant,Travel,iOS,No,suspicious
985.71,8,511,2,1,17.46,Merchant,Electronics,Android,No,fraud
1084.61,14,2747,5,2,1.99,P2P,Fuel,Android,No,fraud
2820.25,10,4714,3,0,1.06,P2P,Travel,Android,Yes,suspicious
892.6,12,1769,3,0,3.65,P2P,Jewelry,iOS,No,suspicious
258.84,8,1891,1,0,0.44,Merchant,Jewelry,Android,Yes,suspicious
733.42,19,3273,3,0,3.33,Merchant,Jewelry,Android,No,suspicious
552.72,12,4461,2,0,0.7,P2P,Electronics,iOS,Yes,suspicious
5356.93,6,1586,1,0,0.16,Merchant,Groceries,Android,Yes,suspicious
1193.61,11,4470,5,2,12.71,Merchant,Jewelry,Android,Yes,fraud
1988.14,21,1015,4,0,0.69,P2P,Travel,Android,Yes,suspicious
1539.02,22,2071,3,0,0.5,P2P,Groceries,Android,No,suspicious
1302.81,19,2057,4,0,1.02,BillPay,Groceries,iOS,No,suspicious
4711.75,19,3643,2,2,2.13,P2P,Fuel,Android,No,fraud
203.54,13,1326,2,0,2.26,P2P,Groceries,Android,No,safe
1545.25,14,605,0,0,14.08,Merchant,Electronics,Android,Yes,suspicious
4004.58,14,1303,1,0,1.88,P2P,Fuel,iOS,No,suspicious
2932.31,0,542,3,1,4.56,Merchant,Electronics,Android,No,fraud
8092.13,5,3963,5,1,3.67,P2P,Groceries,iOS,Yes,fraud
1820.85,14,2132,1,1,1.34,P2P,Jewelry,iOS,No,fraud
321.99,9,1327,0,0,2.23,P2P,Groceries,Android,Yes,safe
10384.91,10,4651,1,0,8.92,Merchant,Electronics,Android,No,suspicious
1406.28,17,2269,4,0,8.21,P2P,Travel,Android,Yes,suspicious
5168.14,23,799,3,0,7.0,P2P,Fuel,Android,No,suspicious
461.62,11,4752,4,0,4.55,Merchant,Groceries,Android,No,suspicious
926.23,6,4672,3,0,2.71,Merchant,Groceries,Android,Yes,suspicious
501.07,11,3749,2,0,2.07,P2P,Jewelry,iOS,No,suspicious
3107.4,16,3281,0,0,0.21,P2P,Travel,Android,No,safe
7655.99,17,3085,4,0,8.26,P2P,Groceries,Android,Yes,suspicious
4827.64,12,1632,3,1,1.24,P2P,Travel,Unknown,No,fraud
1889.96,12,2024,1,0,2.48,P2P,Travel,Android,Yes,suspicious
1531.29,12,3965,2,0,2.49,P2P,Travel,iOS,No,suspicious
2041.74,22,546,6,1,3.2,P2P,Electronics,Android,No,fraud
5213.85,0,2818,1,0,1.65,Merchant,Jewelry,Android,No,suspicious
771.75,17,4840,2,0,0.07,BillPay,Fuel,Android,Yes,suspicious
1711.67,16,3982,2,0,5.46,P2P,Travel,Unknown,No,suspicious
4583.8,5,4821,0,2,2.13,P2P,Fuel,Android,Yes,fraud
2649.83,13,1485,5,0,0.6,P2P,Travel,Android,Yes,suspicious
3378.14,19,2055,5,1,0.95,Merchant,Electronics,iOS,No,fraud
1780.88,1,2295,3,1,1.24,P2P,Jewelry,Android,No,fraud
4660.66,13,2128,9,0,1.51,Merchant,Groceries,iOS,Yes,fraud
3598.57,0,3764,3,0,4.54,P2P,Jewelry,Android,No,fraud
1769.82,22,2526,6,0,7.41,P2P,Travel,iOS,No,suspicious
666.46,10,706,1,1,3.29,Merchant,Electronics,iOS,Yes,fraud
3580.15,2,3195,4,0,1.58,P2P,Groceries,Android,Yes,fraud
1099.71,8,402,5,1,5.63,P2P,Fuel,Android,No,fraud
1914.37,4,1425,4,0,3.48,P2P,Electronics,iOS,No,fraud
5445.67,22,351,4,0,1.67,P2P,Electronics,Unknown,Yes,fraud
6438.83,5,206,1,0,4.19,Merchant,Fuel,Android,Yes,suspicious
8162.82,0,1260,3,0,3.07,BillPay,Travel,Android,Yes,fraud
1460.21,20,902,2,0,1.47,P2P,Jewelry,Android,No,suspicious
3441.46,8,3991,4,1,5.08,P2P,Jewelry,Android,Yes,fraud
241.94,14,1144,3,1,0.55,Merchant,Travel,iOS,No,suspicious
2231.6,12,1183,3,0,2.04,P2P,Fuel,Android,No,suspicious
5724.67,0,3799,1,2,0.77,Merchant,Fuel,Android,No,fraud
403.8,22,4469,4,0,1.63,BillPay,Jewelry,Android,No,suspicious
9238.82,11,1636,5,0,0.07,P2P,Jewelry,Android,No,fraud
818.88,4,3963,3,0,2.32,P2P,Fuel,iOS,Yes,suspicious
7012.39,3,2988,3,1,10.69,P2P,Fuel,Android,No,fraud
609.61,0,543,2,0,7.37,P2P,Travel,Android,No,suspicious
1225.89,8,1054,3,1,2.46,BillPay,Fuel,Android,No,suspicious
11758.65,16,161,3,0,3.64,BillPay,Fuel,Android,No,suspicious
798.57,18,2344,6,0,0.08,Merchant,Jewelry,Android,No,suspicious
161.4,21,1694,4,0,2.15,P2P,Travel,iOS,No,safe
641.88,10,1971,3,0,4.49,P2P,Groceries,Android,No,suspicious
604.95,10,4423,4,1,1.89,P2P,Travel,Android,No,suspicious
2559.06,23,3007,4,0,0.64,P2P,Fuel,iOS,No,suspicious
2868.29,11,3656,7,1,2.56,P2P,Fuel,Android,Yes,fraud
2472.0,22,306,4,0,1.28,P2P,Groceries,iOS,No,suspicious
668.24,4,634,5,0,2.01,Merchant,Jewelry,iOS,No,fraud
4457.02,15,2816,1,0,2.98,Merchant,Groceries,Android,No,suspicious
363.93,2,4463,3,0,4.7,P2P,Electronics,Android,Yes,fraud
2441.02,3,44,3,0,3.01,P2P,Jewelry,Android,No,fraud
1341.85,14,2910,4,0,6.48,P2P,Groceries,Android,No,suspicious
4479.01,22,739,3,1,10.24,Merchant,Groceries,Android,No,fraud
1337.53,14,2440,2,2,7.27,P2P,Travel,Android,Yes,fraud
1367.01,17,2264,2,1,1.48,P2P,Travel,Android,Yes,fraud
4827.02,8,2128,2,1,1.41,P2P,Travel,Unknown,Yes,fraud
2195.32,1,1722,2,0,1.58,Merchant,Groceries,iOS,Yes,suspicious
6400.56,7,4118,2,1,0.23,P2P,Jewelry,Android,No,fraud
1393.91,0,166,3,0,0.18,BillPay,Fuel,Android,No,suspicious
2452.4,19,621,5,0,0.35,P2P,Travel,Android,Yes,suspicious
4354.17,20,3967,5,0,3.7,P2P,Groceries,Android,No,suspicious
2410.72,16,2938,3,0,12.98,P2P,Electronics,iOS,No,suspicious
1095.31,20,703,3,1,5.63,P2P,Electronics,Android,Yes,fraud
6024.01,10,3505,3,0,1.39,P2P,Travel,Android,No,suspicious
3205.34,19,551,3,0,18.43,P2P,Fuel,Unknown,No,suspicious
1034.81,19,4909,1,1,0.21,P2P,Travel,iOS,No,suspicious
737.31,0,269,3,0,1.12,P2P,Jewelry,Android,Yes,fraud
1009.1,18,2329,0,0,8.01,Merchant,Jewelry,Android,Yes,suspicious
1457.32,12,1231,4,0,0.71,Merchant,Groceries,iOS,No,suspicious
1351.5,8,2461,2,0,2.37,P2P,Jewelry,iOS,No,suspicious
1153.65,9,4982,3,0,12.66,Merchant,Fuel,iOS,No,suspicious
2121.17,18,112,2,0,0.03,P2P,Fuel,Android,No,suspicious
5370.07,13,322,1,0,1.81,P2P,Groceries,Android,No,suspicious
1175.24,13,3092,3,1,1.26,P2P,Travel,iOS,No,suspicious
1226.41,22,244,1,0,1.43,P2P,Travel,Android,No,safe
1714.09,3,461,3,1,0.86,Merchant,Electronics,iOS,No,fraud
7797.13,17,1043,2,0,8.13,P2P,Jewelry,iOS,Yes,fraud
1467.73,21,3842,4,1,0.66,Merchant,Travel,Android,Yes,fraud
11041.51,12,2252,4,0,2.81,P2P,Groceries,Android,Yes,fraud
1122.93,14,1995,3,0,2.76,P2P,Electronics,Android,No,suspicious
5095.9,18,4454,3,0,2.09,Merchant,Electronics,iOS,No,suspicious
3778.77,11,2120,8,0,8.86,P2P,Electronics,Android,Yes,fraud
647.06,18,3035,3,0,3.96,P2P,Travel,Android,No,suspicious
9179.21,15,153,3,0,3.6,P2P,Electronics,iOS,Yes,fraud
1873.5,14,3199,0,0,0.77,P2P,Groceries,Android,Yes,suspicious
2984.56,0,3700,0,1,12.49,P2P,Fuel,Android,Yes,fraud
2919.86,17,2432,5,0,4.52,P2P,Fuel,iOS,No,suspicious
4293.12,1,4817,4,2,3.32,BillPay,Fuel,Android,No,fraud
1375.34,6,1520,5,1,2.56,Merchant,Fuel,Android,No,fraud
442.58,19,1919,2,0,1.85,Merchant,Travel,iOS,No,safe
4183.78,22,1420,1,1,2.82,BillPay,Fuel,iOS,No,suspicious
1030.42,4,4809,0,0,0.41,Merchant,Fuel,Android,No,suspicious
1775.77,21,4767,2,1,9.34,Merchant,Travel,Android,No,suspicious
3049.86,4,3910,4,1,19.19,P2P,Electronics,Android,No,fraud
861.15,10,3679,3,1,11.41,P2P,Fuel,iOS,No,suspicious
3682.68,12,2824,5,0,14.29,Merchant,Fuel,Android,No,suspicious
1780.17,1,2643,0,0,3.97,Merchant,Electronics,iOS,No,suspicious
2811.47,20,2310,3,0,0.32,P2P,Fuel,Android,Yes,suspicious
1212.36,16,2608,2,0,3.9,P2P,Electronics,Android,No,suspicious
979.25,16,1207,6,1,4.69,P2P,Electronics,Android,No,fraud
844.86,12,1326,3,1,5.56,BillPay,Travel,Unknown,Yes,fraud
2000.51,2,3403,1,0,6.63,Merchant,Electronics,Android,Yes,fraud
1554.46,21,744,3,0,4.14,Merchant,Fuel,Android,No,suspicious
1176.04,20,2328,1,0,15.23,P2P,Groceries,Android,No,safe
5407.17,15,2249,2,0,6.51,Merchant,Travel,iOS,Yes,suspicious
1324.61,12,262,5,0,1.83,Merchant,Electronics,iOS,Yes,fraud
3561.0,18,1269,3,0,6.92,Merchant,Jewelry,Android,No,suspicious
3567.64,0,4242,4,0,1.05,Merchant,Fuel,iOS,No,suspicious
2253.38,20,3639,0,1,0.3,Merchant,Fuel,Android,No,suspicious
449.16,19,89,2,0,1.52,P2P,Travel,Android,Yes,suspicious
2856.66,20,131,4,0,1.85,Merchant,Travel,Android,Yes,suspicious
7171.67,2,3800,3,0,11.79,P2P,Travel,Android,No,suspicious
9193.27,15,3430,2,0,11.88,Merchant,Jewelry,Android,Yes,fraud
703.98,16,3324,1,0,11.33,P2P,Travel,Android,No,safe
765.88,23,4108,3,0,3.18,P2P,Fuel,Android,No,suspicious
4215.73,20,2435,0,0,6.65,P2P,Jewelry,Android,Yes,suspicious
443.72,14,3646,2,1,16.42,Merchant,Electronics,iOS,No,fraud
2268.95,13,3700,0,0,2.87,Merchant,Electronics,iOS,Yes,suspicious
4753.68,17,4237,2,0,3.05,P2P,Groceries,iOS,No,suspicious
786.09,1,311,4,0,6.35,BillPay,Fuel,Android,No,suspicious
864.53,9,2264,3,0,0.11,P2P,Electronics,Android,No,suspicious
1311.64,12,4536,0,0,3.35,Merchant,Groceries,Android,Yes,suspicious
1544.92,16,2516,2,0,3.65,P2P,Travel,iOS,No,suspicious
2417.44,4,1472,1,0,0.61,Merchant,Groceries,Android,No,suspicious
2196.72,23,2937,7,0,11.43,P2P,Electronics,iOS,No,fraud
1994.03,12,2908,2,0,0.69,Merchant,Jewelry,Android,No,suspicious
554.51,9,3973,3,1,0.25,P2P,Travel,Android,No,suspicious
1315.96,0,3622,2,1,14.46,BillPay,Jewelry,Android,No,fraud
479.62,6,678,3,1,5.83,P2P,Groceries,Android,No,suspicious
585.27,13,1391,7,0,12.03,P2P,Groceries,Android,No,suspicious
1046.79,21,2058,2,0,4.24,Merchant,Electronics,Android,Yes,suspicious
1674.38,8,2613,6,1,10.03,P2P,Travel,Android,Yes,fraud
561.99,21,2237,2,0,15.94,P2P,Electronics,Android,No,suspicious
710.29,22,2607,2,0,0.61,Merchant,Groceries,Unknown,No,suspicious
7542.67,4,579,5,2,5.24,Merchant,Groceries,iOS,Yes,fraud
2623.87,4,1469,3,0,3.8,Merchant,Travel,Android,Yes,fraud
1750.26,20,856,4,0,24.54,P2P,Groceries,Android,Yes,suspicious
2825.06,21,1935,1,1,2.68,Merchant,Electronics,Android,No,fraud
4130.75,3,1798,3,0,0.01,P2P,Groceries,Android,No,suspicious
1168.66,14,451,5,0,11.49,Merchant,Fuel,Android,No,suspicious
796.44,18,670,2,1,4.03,Merchant,Fuel,iOS,No,suspicious
2173.1,22,2996,2,0,2.41,P2P,Electronics,Android,No,suspicious
5287.63,5,4795,1,0,1.01,P2P,Jewelry,Android,Yes,suspicious
2913.39,12,704,4,1,10.11,P2P,Electronics,Android,No,fraud
1185.52,0,3489,4,0,6.25,P2P,Jewelry,Android,Yes,fraud
6982.37,9,530,2,1,2.31,BillPay,Fuel,iOS,Yes,fraud
2387.61,22,256,2,0,3.4,P2P,Groceries,Android,Yes,suspicious
2137.68,13,171,4,0,2.29,Merchant,Groceries,Android,No,suspicious
2792.32,6,2318,4,1,2.62,P2P,Jewelry,Android,No,fraud
1616.07,16,3332,2,0,12.17,Merchant,Groceries,Unknown,No,suspicious
591.25,19,3509,3,0,5.57,Merchant,Fuel,Unknown,No,suspicious
2177.35,16,3655,2,1,3.72,P2P,Jewelry,Android,No,fraud
3247.43,17,2996,4,1,7.01,Merchant,Groceries,Android,No,fraud
1731.97,7,1804,2,0,2.46,P2P,Travel,Unknown,Yes,fraud
2302.29,22,3199,5,0,10.16,Merchant,Jewelry,iOS,No,suspicious
3489.48,0,2037,4,0,13.82,P2P,Fuel,iOS,No,suspicious
1026.0,7,1276,5,2,9.85,P2P,Fuel,Android,Yes,fraud
362.91,23,3044,2,1,5.43,Merchant,Fuel,Android,Yes,suspicious
1292.18,17,4273,6,0,5.95,Merchant,Travel,Android,No,suspicious
1728.49,11,1944,2,0,15.78,Merchant,Groceries,Android,No,suspicious
867.6,3,3806,2,0,8.32,P2P,Electronics,Unknown,No,fraud
785.12,10,4026,1,0,3.01,P2P,Jewelry,Android,Yes,suspicious
358.04,12,2696,2,0,12.57,P2P,Fuel,Android,No,safe
2797.98,2,1168,6,0,1.84,P2P,Travel,Android,No,fraud
684.58,0,3242,1,0,8.69,P2P,Electronics,Android,No,suspicious
602.86,3,4681,3,0,0.64,BillPay,Electronics,Android,No,suspicious
7557.79,3,4146,2,2,13.06,BillPay,Fuel,Android,No,fraud
10367.13,16,2735,4,0,7.11,Merchant,Electronics,Android,Yes,fraud
538.09,9,4698,6,0,0.91,BillPay,Fuel,Android,No,suspicious
1458.55,9,3317,4,0,8.66,Merchant,Jewelry,iOS,No,suspicious
400.75,18,3762,1,1,3.42,Merchant,Electronics,iOS,Yes,fraud
2116.67,18,1331,3,0,1.85,BillPay,Fuel,iOS,No,suspicious
514.43,14,1625,3,2,0.04,P2P,Travel,iOS,No,fraud
854.59,3,1837,4,0,2.53,P2P,Jewelry,iOS,No,fraud
1118.01,11,2307,2,0,5.18,P2P,Travel,Android,No,safe
963.91,22,4738,4,0,0.47,P2P,Fuel,iOS,Yes,suspicious
5629.54,16,622,3,0,2.39,P2P,Travel,Android,No,suspicious
